space,pc1,pc2,cluster
0035666.eth,60.83230006407393,-1.6728453496734812,0
01meta.eth,-2.1648025096629167,0.967221377459222,2
0vix-protocol.eth,-2.2395523948152776,-0.14131621921402526,2
0xgov.eth,-2.4865611197786297,-0.7135648181894726,2
0xmetamask.eth,-1.4669004835675943,0.26426207433188464,2
10b57e6da0.eth,-2.5088503633227512,-0.35060563235876924,2
1213.eth,9.835605586192559,0.15907561406484827,2
14cat.eth,0.6777187882099596,-0.4514947392111952,2
161610.eth,-1.9452290831604098,-0.23036378631300192,2
1inch.eth,-2.344350966971227,-0.3522147790142126,2
1todamoon.eth,-1.5820972449162303,0.4998210885774417,2
2021eth.eth,-0.20707515835239532,1.5881459311303572,2
4867.eth,2.015480360511648,0.8746120078919761,2
51588.eth,-1.9817463149989065,0.47642236754773415,2
53231323.eth,-2.4379038812141554,0.12206898628044316,2
551111155.eth,-2.290953484221987,0.10280593137720917,2
5552.eth,5.406627799653005,0.5996149927809562,2
691800.eth,-0.6986856765821652,0.9849198471959797,2
721nftdao.eth,-2.486856445236411,0.5014113517041423,2
79798.eth,3.559070740451934,-0.13277979070879742,2
857.79798.eth,5.418005385891183,0.039502342273289304,2
8848labs.eth,-1.9950157360641128,2.5824759187620128,2
9679999.eth,46.534581128278646,0.3407295112701063,0
aavedao.eth,-0.557669007213099,-0.2885083846820911,2
aavegotchi.eth,-1.4435195072077742,0.36226539537399494,2
abcdcba.eth,1.1035122448934813,0.19824810463275433,2
abracadabrabymerlinthemagician.eth,-2.257169333218205,-1.403939279003617,2
acrossprotocol.eth,-2.225111812604753,-1.1724076405906207,2
aladdindao.eth,-0.7439822370728302,-1.187013123643828,2
alchemistcoin.eth,-2.5122052538148467,1.5611536641183306,2
alchemixstakers.eth,-2.2892175898009604,0.4708660713143129,2
alexec.eth,-2.254367355585168,1.4267728535984974,2
alpacafinance.eth,-2.3447334086350358,0.017268050434298687,2
ampleforthorg.eth,-2.444977101556225,-0.4210101928172578,2
anglegovernance.eth,-2.172852824577062,-0.7782248423826166,2
apecoin.eth,-1.3713693094632142,1.5521842767306113,2
apeswap-finance.eth,-2.5272964872321246,2.2760685704771704,2
apollodao.eth,0.39559532591541435,0.5866658587247471,2
apolloxdao.eth,-2.4370913385101356,1.7411428411875391,2
arbitrumfoundation.eth,-0.9791801332650936,0.2632259863064117,2
assangedao.eth,-2.541698540113873,-0.547803494584639,2
astardegens.eth,-2.490777061144295,0.9536780198904564,2
aurafinance.eth,0.34334595686015046,-0.6452967394275819,2
autometafi.eth,-2.061481337459779,-1.83505450421206,2
awsbcommunity.eth,-1.089204293561372,0.3927432111816864,2
babydogevote.eth,-2.2738916838663985,-1.4509222225082148,2
badgerdao.eth,-2.329295975110136,-1.1254996964915573,2
balancer.eth,-0.3293072496725684,-1.0806151186778898,2
bancornetwork.eth,-1.146570725903203,-0.657684020927612,2
banklessvault.eth,-2.3231214957008883,-0.7631296441363462,2
baovotes.eth,-2.3514298375180123,-1.2244696208485786,2
barnbridge.eth,-2.4564449880860506,-0.4177265962248039,2
basedpiggy.eth,-2.3531369020263333,-0.5092440909558213,2
beanstalkdao.eth,-2.4304113217759853,-1.6834651744472828,2
beanstalkfarms.eth,-1.992280950452388,-1.2176008826804068,2
beefydao.eth,-2.246223246180549,0.5125345516688014,2
beets.eth,-2.018928475807357,-0.6581503593628873,2
benddao.eth,-2.287567912902661,0.42624805032251323,2
bestfork.eth,-2.1653362316239417,0.4082470115706849,2
binance868dashi.eth,0.7593100554325192,0.9561596911963142,2
bioxyz.eth,-2.3748540878021442,-1.8082412271344976,2
biswap-org.eth,-2.475675000671138,0.5842984126573108,2
bitdao.eth,-2.4771998208300787,-2.0178453467776483,2
bitembassy.eth,-1.8748713951125766,-1.5982912977417314,2
biteren.eth,-0.816462188979179,-0.0451717637908855,2
black369hole.eth,-1.1213494992103163,1.7169051874279666,2
blastupio.eth,-1.8507970136915748,-0.5513218780419176,2
blid.eth,-2.164079231508111,-1.667500198492374,2
blockchainminers.eth,-2.2461413946182085,5.754755405379085,2
blockhuobi.eth,-2.1291600539451396,-0.8519393398967979,2
bnbdddd.eth,1.9932416514510591,-0.14607785641518223,2
boboat321.eth,0.2474330418554449,-0.762938255297134,2
bobuthefarmer.eth,-2.5019647041955686,1.142338464101218,2
boringsecurity.eth,-2.3861313839613865,-0.2631429321770424,2
bosondao.eth,-2.5206198085377043,-0.8936954757272838,2
botto.eth,-2.341518599502809,-1.0751157739990007,2
brightdao688.eth,9.113788556501936,0.7949500232542825,2
brightdao888.eth,6.833392794890759,0.32969161749670717,2
brightmoments.eth,-2.5101217595373213,-0.44015328936259596,2
briwanbriwan333999.eth,4.298926656585751,0.38636863065114135,2
btcismylove.eth,-2.3534296463778404,1.5554860350206172,2
bullsontheblock.eth,-2.1064354749412275,-0.39074684404419235,2
bwkj88.eth,0.6015276180297526,-1.8434477457875205,2
bytedust.eth,16.63123536872211,2.457433899589258,0
cakevote.eth,6.96459999887826,-0.6534532866433944,2
castlekidvault.eth,-2.469443572584801,0.03864337062451506,2
cccdd.eth,1.7924968313101952,-2.1413098767493493,2
chaingov.eth,-2.393382813002501,-1.5057224586029583,2
chaingptai.eth,-2.4100219087843877,1.062715013291644,2
chenyangcong.eth,-0.5059130769405622,-0.5423422125680183,2
coinagemedia.eth,-2.272052748804959,1.984268135767012,2
coincollect.app,-2.3972933708781516,0.7013163062715433,2
comp-vote.eth,-2.517363678921578,-0.2780260149521994,2
compgov.eth,-2.5086645949263007,-1.9294231065478338,2
conic-dao.eth,-1.4590735325532922,0.9444660419404594,2
council.bibliotheca.eth,-2.340687310468742,-0.5311519884956907,2
cow.eth,-2.3271263763899954,-1.6716544411403311,2
cream-finance.eth,-2.2226655734333605,-1.615109531784412,2
cryptomods.eth,-2.252300489326352,-0.26215328536104393,2
ctcswap.eth,-2.1177754131544395,-0.9841538571573016,2
curve.eth,-0.912268620592648,0.12175773696083803,2
cvx.eth,2.910425960455472,-0.9204573228257662,2
dackie.eth,-2.2291117181990265,-1.7401382731282433,2
dao.amkt.eth,-2.4501079184767596,-1.3380534820898835,2
dao.connext.eth,-2.2403549350653202,0.40952824560990275,2
dao.spaceid.eth,-2.4948049304022613,-0.7947575762533454,2
daocity.eth,-2.3116229909404753,1.5731507649563143,2
daovoice.eth,-2.3687450273704904,1.6437598216724432,2
dapang.eth,5.160179144821248,-0.6364122305299877,2
dapang1.eth,1.3457672721364804,-1.2144653824159577,2
dappradar.eth,-2.4729621338254284,-1.1484791872206546,2
dawow.eth,-2.4892556129026664,-0.3358429058428965,2
decentralgames.eth,-1.7876919791097747,-0.6451203686974545,2
decrypt-media.eth,-2.5042052107046966,2.5229580402064427,2
defjnite.eth,-2.0588273894169715,2.430427480724832,2
deri.eth,-2.5080704303389743,1.191934243301842,2
derify.eth,-2.2844133944726517,3.513656296689902,2
deskvoting.eth,-2.027638235601602,-0.6811483426310863,2
devdao.eth,-2.452009940363093,-1.359011141537997,2
dfkvote.eth,-2.512704701664303,-0.828698492685595,2
dforcenet.eth,-2.380570551033065,-1.278862706703105,2
diadao.eth,-2.354206349251618,-0.47565132189229753,2
digitalriyal.eth,7.246509140313247,-1.2459079327119047,2
dinero.xyz,-2.2558380190190137,-1.173288503100911,2
dodobird.eth,-2.507434802674914,-0.7684987783134243,2
dogamoni.eth,19.511925845175654,-1.145346431985419,0
dogelondao.eth,-2.5491967028579725,0.0715690388378184,2
doodles.eth,-2.308071435215924,-0.7919983259249924,2
dopedao.eth,-2.3219673448679146,-0.9719369139198062,2
dunjia.eth,1.542114595067852,0.4895913085692909,2
dydxgov.eth,-2.351317041757462,-0.47589702638451953,2
echelonassembly.eth,-2.4731170382898173,0.23613828038552498,2
elfi.eth,-2.440688797239106,-1.6148130884425873,2
ens.eth,-2.445176412000874,-0.19090481139312387,2
equationdao.eth,-2.3296286502612356,0.40798229672910535,2
equilibriafi.eth,-2.0684578441210473,-0.9848156668138046,2
eth6888.eth,0.9073945650010842,-0.005957640098898542,2
etherfi-dao.eth,-2.469188108652688,-1.6357853806537235,2
