,log_n_unique_voters,mean_robust_participation_vp,std_robust_participation_vp,gini_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_choice_entropy,z_rep_pct_aligned_with_majority
log_n_unique_voters,1.0,-0.2058927301088026,0.15766176447073027,0.30525767020271816,-0.06521551547889072,-0.006171688954946538,0.12798579892851716,0.09996281485290297,-0.17707978860783613,0.07427194471537399,0.018581524510086347,-0.037179079970492857
mean_robust_participation_vp,-0.2058927301088026,1.0,-0.6629033431656615,0.18380652807509704,-0.1388929821894652,-0.06621090917949989,0.023385032185540573,-0.047184696299687544,-0.04650803136651808,-0.012184034048792773,0.03678261250786946,0.2232070486311737
std_robust_participation_vp,0.15766176447073027,-0.6629033431656615,1.0,0.011292582198637484,-0.0036839586090647936,-0.057987411024924204,-0.061931020157823105,0.0945712947765043,-0.08739980115759549,-0.009115349146172508,-0.09772681434528145,-0.1724403180087909
gini_voting_power,0.30525767020271816,0.18380652807509704,0.011292582198637484,1.0,-0.4642288062547246,-0.3473822067582791,0.0652544763646233,0.05849327812075112,-0.3903338675684262,0.056190462744415616,-0.09120267805406089,0.14648934765989863
whale_ratio_top1pct,-0.06521551547889072,-0.1388929821894652,-0.0036839586090647936,-0.4642288062547246,1.0,0.3143423572433564,-0.10984921146858467,0.049254407292697665,0.15807874401259206,-0.12097116598625159,-0.12607942254667345,0.04814208210267173
proposal_frequency_per_30d,-0.006171688954946538,-0.06621090917949989,-0.057987411024924204,-0.3473822067582791,0.3143423572433564,1.0,0.018510564249912327,-0.010977294442645773,0.23008011443833307,-0.09716162285835668,0.06317357022359898,-0.04103787490581781
repeat_voter_rate,0.12798579892851716,0.023385032185540573,-0.061931020157823105,0.0652544763646233,-0.10984921146858467,0.018510564249912327,1.0,0.010783077824182322,-0.13793469546896778,-0.01965801264169865,0.5308233513690793,0.018374358642576753
z_rep_pct_for_votes,0.09996281485290297,-0.047184696299687544,0.0945712947765043,0.05849327812075112,0.049254407292697665,-0.010977294442645773,0.010783077824182322,1.0,-0.3190995146841306,-0.23283817486370867,-0.10018745179634281,0.32436257878985114
z_rep_pct_against_votes,-0.17707978860783613,-0.04650803136651808,-0.08739980115759549,-0.3903338675684262,0.15807874401259206,0.23008011443833307,-0.13793469546896778,-0.3190995146841306,1.0,0.06589785503762717,0.38550882696414934,-0.49213058834731116
z_rep_choice_entropy,0.018581524510086347,0.03678261250786946,-0.09772681434528145,-0.09120267805406089,-0.12607942254667345,0.06317357022359898,0.5308233513690793,-0.10018745179634281,0.38550882696414934,0.40191446946902565,1.0,-0.49149115886043504
z_rep_pct_aligned_with_majority,-0.037179079970492857,0.2232070486311737,-0.1724403180087909,0.14648934765989863,0.04814208210267173,-0.04103787490581781,0.018374358642576753,0.32436257878985114,-0.49213058834731116,-0.4843157807368236,-0.49149115886043504,1.0
