,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
avg_voters_per_proposal,1.0,0.8826000519299849,0.2042012719631457,0.12572917531065228,-0.2410261667374058,0.2169737593727729,0.007337963328543793,0.143769360482507,0.2042012719631457,0.2609199750964568,0.10831729304904501,0.029160870616872583,0.21361370288846557,,,,,0.11743920965253185,-0.10496148290472285,-0.017412776497330505,0.041127794942583645,-0.09867737402908108,-0.009649023821517048,-0.05202214456902138,0.029312237002534925,0.5671557571761544,0.5218548456439566,-0.07658261373025102,0.12966559305234515,0.6518449275733458,0.5671557571761544
median_voters_per_proposal,0.8826000519299849,1.0,0.292068700182928,0.134719473660712,-0.23687825576843902,0.17932908577561663,-0.00923589731234174,0.15584987574368178,0.292068700182928,0.18849218069758525,0.16887419209946117,-0.0198122813528596,0.23864992814741348,,,,,0.09149199593328988,-0.1028060389555289,-0.019066891332501893,0.052577473949670245,-0.07421675517739373,0.007298640549716042,-0.06637390361557266,0.06143897203321243,0.4492492644393183,0.43417646200759874,-0.08989024597035503,0.13838507805285966,0.5688700634688345,0.4492492644393183
voter_turnout_proxy,0.2042012719631457,0.292068700182928,1.0,0.1582121585188297,-0.3166186960876087,-0.20165854810391343,-0.11087345883415066,0.16787961889039488,1.0,0.5689849572260097,0.47470210653032974,-0.09032752271032778,0.043874351355288534,,,,,-0.016917336597529274,-0.12269986769346611,-0.0009663697781351283,0.04972271998522133,0.06577018068993279,0.12590907160047413,0.11012033919198701,0.12029927090603944,-0.23257799312743824,-0.18128258356939367,-0.6762609770184055,0.17271309303279284,0.2861195138911557,-0.23257799312743824
gini_voting_power,0.12572917531065228,0.134719473660712,0.1582121585188297,1.0,-0.24765061580155193,-0.4642288062547246,-0.3473822067582791,0.0652544763646233,0.15821215851882964,0.09570287841625762,0.18380652807509704,0.011292582198637538,0.07832356939648166,,,,,0.05849327812075112,-0.3903338675684262,0.056190462744415616,0.14648934765989863,0.16422384194594825,0.34867328776182316,0.3776054984281408,-0.09120267805406089,0.305257670202718,0.32073403257869215,-0.19685989423517505,0.6174733797483493,0.46368441164408936,0.305257670202718
hhi_voting_power,-0.2410261667374058,-0.23687825576843902,-0.3166186960876087,-0.24765061580155193,1.0,0.5667818074228878,0.11626503056091052,-0.3102309665272791,-0.3166186960876087,-0.3057632799488094,-0.1576319853125846,-0.023545200290464682,-0.19238574328255517,,,,,-0.04801225099607431,0.23261105752083333,-0.12803627487929517,0.06804079471055448,-0.024719865240334916,-0.2528194712180844,-0.22807124669520695,-0.2401582223384494,-0.41829975573738465,-0.47110292094115785,0.26090394570500397,-0.20452954658223604,-0.6667686212268801,-0.41829975573738465
whale_ratio_top1pct,0.2169737593727729,0.17932908577561663,-0.20165854810391343,-0.4642288062547246,0.5667818074228878,1.0,0.3143423572433564,-0.10984921146858467,-0.2016585481039134,-0.14769163111043696,-0.13889298218946527,-0.0036839586090647875,-0.013785636227479922,,,,,0.049254407292697665,0.15807874401259206,-0.12097116598625159,0.04814208210267173,-0.16686670364145662,-0.31314541651274114,-0.32016916298494413,-0.12607942254667345,-0.06521551547889066,-0.10283621688411973,0.2371070127115082,-0.2656324053858615,-0.24563983714311263,-0.06521551547889066
proposal_frequency_per_30d,0.007337963328543793,-0.00923589731234174,-0.11087345883415066,-0.3473822067582791,0.11626503056091052,0.3143423572433564,1.0,0.018510564249912327,-0.11087345883415065,-0.19986178586966236,-0.06621090917949989,-0.05798741102492425,0.0560491035540882,,,,,-0.010977294442645773,0.23008011443833307,-0.09716162285835668,-0.04103787490581781,-0.08723999391036184,-0.264429687709182,-0.31890349986444194,0.06317357022359898,-0.006171688954946535,0.0016607149654641815,0.23591699196743904,-0.24943686643312865,-0.15405774397862246,-0.006171688954946535
repeat_voter_rate,0.143769360482507,0.15584987574368178,0.16787961889039488,0.0652544763646233,-0.3102309665272791,-0.10984921146858467,0.018510564249912327,1.0,0.16787961889039493,0.10048286098733442,0.02338503218554062,-0.06193102015782313,0.5745993938128153,,,,,0.010783077824182322,-0.13793469546896778,-0.01965801264169865,0.018374358642576753,0.016099668120067717,0.4366597271362734,0.09984575337008127,0.5308233513690793,0.12798579892851722,0.4127625581897417,0.28721471462731774,0.11109452405615622,0.22531781008957893,0.12798579892851722
mean_participation_count,0.2042012719631457,0.292068700182928,1.0,0.15821215851882964,-0.3166186960876087,-0.2016585481039134,-0.11087345883415065,0.16787961889039493,1.0,0.5689849572260096,0.47470210653032974,-0.0903275227103278,0.04387435135528855,,,,,-0.016917336597529288,-0.12269986769346611,-0.00096636977813515,0.04972271998522134,0.0657701806899328,0.12590907160047415,0.11012033919198701,0.12029927090603944,-0.23257799312743824,-0.18128258356939364,-0.6762609770184056,0.1727130930327929,0.28611951389115564,-0.23257799312743824
std_participation_count,0.2609199750964568,0.18849218069758525,0.5689849572260097,0.09570287841625762,-0.3057632799488094,-0.14769163111043696,-0.19986178586966236,0.10048286098733442,0.5689849572260096,1.0,0.042939559569653354,0.27953517711265674,-0.061962969224968766,,,,,-0.0024208148819100605,-0.10145295897846378,0.02809289147470368,-0.05255430964531346,0.026923605397023424,-0.010631035800485088,0.06466949736244683,0.006585478501141676,0.0779494374674074,0.023009429158544398,-0.6300789192977541,0.15604205053958556,0.4617496783481,0.0779494374674074
mean_robust_participation_vp,0.10831729304904501,0.16887419209946117,0.47470210653032974,0.18380652807509704,-0.1576319853125846,-0.13889298218946527,-0.06621090917949989,0.02338503218554062,0.47470210653032974,0.042939559569653354,1.0,-0.6629033431656615,0.1875007994730778,,,,,-0.047184696299687544,-0.04650803136651808,-0.012184034048792773,0.2232070486311737,0.027511359859291658,0.24465447108801686,0.11024140652536613,0.03678261250786946,-0.20589273010880255,-0.12257422152556734,-0.2855498632424489,0.06271156729400344,0.09449142999068398,-0.20589273010880255
std_robust_participation_vp,0.029160870616872583,-0.0198122813528596,-0.09032752271032778,0.011292582198637538,-0.023545200290464682,-0.0036839586090647875,-0.05798741102492425,-0.06193102015782313,-0.0903275227103278,0.27953517711265674,-0.6629033431656615,1.0,-0.22046000916592307,,,,,0.0945712947765043,-0.08739980115759549,-0.009115349146172508,-0.1724403180087909,0.05255019904856954,-0.18757896394555765,-0.014549076131132117,-0.09772681434528145,0.15766176447073027,0.05473886592232607,-0.09660509712130311,0.11847834454034119,0.10594829780833714,0.15766176447073027
z_rep_total_votes,0.21361370288846557,0.23864992814741348,0.043874351355288534,0.07832356939648166,-0.19238574328255517,-0.013785636227479922,0.0560491035540882,0.5745993938128153,0.04387435135528855,-0.061962969224968766,0.1875007994730778,-0.22046000916592307,1.0,,,,,-0.09247625068135532,-0.09350448247290868,0.007994894849145928,0.01917571604831311,-0.012902310368778296,0.5119238065454507,-0.02505951262323879,0.4215300809155002,0.14751997617548113,0.4659677971794675,0.47525355515425166,0.11617338896127997,0.17278363268205985,0.14751997617548113
z_rep_avg_voting_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z_rep_median_voting_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z_rep_max_voting_power,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z_rep_voting_power_std,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
z_rep_pct_for_votes,0.11743920965253185,0.09149199593328988,-0.016917336597529274,0.05849327812075112,-0.04801225099607431,0.049254407292697665,-0.010977294442645773,0.010783077824182322,-0.016917336597529288,-0.0024208148819100605,-0.047184696299687544,0.0945712947765043,-0.09247625068135532,,,,,1.0,-0.3190995146841306,-0.23283817486370867,0.32436257878985114,0.072707796778608,0.012799053051687185,0.06453994435568276,-0.10018745179634281,0.09996281485290297,0.07016999322956795,-0.006185133434951187,0.034115610882921844,0.0729477601133733,0.09996281485290297
z_rep_pct_against_votes,-0.10496148290472285,-0.1028060389555289,-0.12269986769346611,-0.3903338675684262,0.23261105752083333,0.15807874401259206,0.23008011443833307,-0.13793469546896778,-0.12269986769346611,-0.10145295897846378,-0.04650803136651808,-0.08739980115759549,-0.09350448247290868,,,,,-0.3190995146841306,1.0,0.06589785503762717,-0.49213058834731116,-0.09203164668855131,-0.3188423659679312,-0.2902576001310857,0.38550882696414934,-0.17707978860783607,-0.23322694328718702,0.05550379315986081,-0.3164921875345878,-0.26411434426331426,-0.17707978860783607
z_rep_pct_abstain_votes,-0.017412776497330505,-0.019066891332501893,-0.0009663697781351283,0.056190462744415616,-0.12803627487929517,-0.12097116598625159,-0.09716162285835668,-0.01965801264169865,-0.00096636977813515,0.02809289147470368,-0.012184034048792773,-0.009115349146172508,0.007994894849145928,,,,,-0.23283817486370867,0.06589785503762717,1.0,-0.4843157807368236,-0.013247428963108912,0.054741104359705355,0.06369678861241374,0.40191446946902565,0.07427194471537402,0.07385624891276289,-0.013097498447669782,0.036770097282011256,0.08200835625944049,0.07427194471537402
z_rep_pct_aligned_with_majority,0.041127794942583645,0.052577473949670245,0.04972271998522133,0.14648934765989863,0.06804079471055448,0.04814208210267173,-0.04103787490581781,0.018374358642576753,0.04972271998522134,-0.05255430964531346,0.2232070486311737,-0.1724403180087909,0.01917571604831311,,,,,0.32436257878985114,-0.49213058834731116,-0.4843157807368236,1.0,0.04875810297301753,0.19381756179926946,0.16111251555566036,-0.49149115886043504,-0.037179079970492857,-0.009294311041726736,-0.010616768911488434,0.09040712583561089,0.0007474828920757551,-0.037179079970492857
z_rep_is_whale_ratio,-0.09867737402908108,-0.07421675517739373,0.06577018068993279,0.16422384194594825,-0.024719865240334916,-0.16686670364145662,-0.08723999391036184,0.016099668120067717,0.0657701806899328,0.026923605397023424,0.027511359859291658,0.05255019904856954,-0.012902310368778296,,,,,0.072707796778608,-0.09203164668855131,-0.013247428963108912,0.04875810297301753,1.0,0.06998919337175408,0.10783994918297594,-0.047154677995478296,-0.10721781636187303,-0.08787410494676731,-0.07159731668593786,0.6354929045088911,-0.04667749549493468,-0.10721781636187303
z_rep_active_duration_days,-0.009649023821517048,0.007298640549716042,0.12590907160047413,0.34867328776182316,-0.2528194712180844,-0.31314541651274114,-0.264429687709182,0.4366597271362734,0.12590907160047415,-0.010631035800485088,0.24465447108801686,-0.18757896394555765,0.5119238065454507,,,,,0.012799053051687185,-0.3188423659679312,0.054741104359705355,0.19381756179926946,0.06998919337175408,1.0,0.7185087647728705,0.201164209878987,-0.0017194056854495912,0.24158740571053272,0.12139989326465986,0.31459914269182715,0.15787993827749205,-0.0017194056854495912
z_rep_avg_days_between_votes,-0.05202214456902138,-0.06637390361557266,0.11012033919198701,0.3776054984281408,-0.22807124669520695,-0.32016916298494413,-0.31890349986444194,0.09984575337008127,0.11012033919198701,0.06466949736244683,0.11024140652536613,-0.014549076131132117,-0.02505951262323879,,,,,0.06453994435568276,-0.2902576001310857,0.06369678861241374,0.16111251555566036,0.10783994918297594,0.7185087647728705,1.0,-0.04444128109242914,-0.02088321382979005,0.022900804771932265,-0.20758420084376206,0.3519487851412856,0.15198505077448968,-0.02088321382979005
z_rep_choice_entropy,0.029312237002534925,0.06143897203321243,0.12029927090603944,-0.09120267805406089,-0.2401582223384494,-0.12607942254667345,0.06317357022359898,0.5308233513690793,0.12029927090603944,0.006585478501141676,0.03678261250786946,-0.09772681434528145,0.4215300809155002,,,,,-0.10018745179634281,0.38550882696414934,0.40191446946902565,-0.49149115886043504,-0.047154677995478296,0.201164209878987,-0.04444128109242914,1.0,0.018581524510086374,0.20723049789991344,0.20095594861224617,-0.05402588558475933,0.07714574737335027,0.018581524510086374
log_n_unique_voters,0.5671557571761544,0.4492492644393183,-0.23257799312743824,0.305257670202718,-0.41829975573738465,-0.06521551547889066,-0.006171688954946535,0.12798579892851722,-0.23257799312743824,0.0779494374674074,-0.20589273010880255,0.15766176447073027,0.14751997617548113,,,,,0.09996281485290297,-0.17707978860783607,0.07427194471537402,-0.037179079970492857,-0.10721781636187303,-0.0017194056854495912,-0.02088321382979005,0.018581524510086374,1.0,0.9199642323798722,0.24556182554487013,0.2007661112665513,0.8064920145979054,1.0
log_total_votes,0.5218548456439566,0.43417646200759874,-0.18128258356939367,0.32073403257869215,-0.47110292094115785,-0.10283621688411973,0.0016607149654641815,0.4127625581897417,-0.18128258356939364,0.023009429158544398,-0.12257422152556734,0.05473886592232607,0.4659677971794675,,,,,0.07016999322956795,-0.23322694328718702,0.07385624891276289,-0.009294311041726736,-0.08787410494676731,0.24158740571053272,0.022900804771932265,0.20723049789991344,0.9199642323798722,1.0,0.4148983235621338,0.24089544611296912,0.7648112376287053,0.9199642323798722
log_n_proposals,-0.07658261373025102,-0.08989024597035503,-0.6762609770184055,-0.19685989423517505,0.26090394570500397,0.2371070127115082,0.23591699196743904,0.28721471462731774,-0.6762609770184056,-0.6300789192977541,-0.2855498632424489,-0.09660509712130311,0.47525355515425166,,,,,-0.006185133434951187,0.05550379315986081,-0.013097498447669782,-0.010616768911488434,-0.07159731668593786,0.12139989326465986,-0.20758420084376206,0.20095594861224617,0.24556182554487013,0.4148983235621338,1.0,-0.1501816265198127,-0.2596402416522666,0.2455618255448701
log_mean_sum_vp,0.12966559305234515,0.13838507805285966,0.17271309303279284,0.6174733797483493,-0.20452954658223604,-0.2656324053858615,-0.24943686643312865,0.11109452405615622,0.1727130930327929,0.15604205053958556,0.06271156729400344,0.11847834454034119,0.11617338896127997,,,,,0.034115610882921844,-0.3164921875345878,0.036770097282011256,0.09040712583561089,0.6354929045088911,0.31459914269182715,0.3519487851412856,-0.05402588558475933,0.2007661112665513,0.24089544611296912,-0.1501816265198127,1.0,0.35278395230484144,0.2007661112665513
log_mean_n_voters,0.6518449275733458,0.5688700634688345,0.2861195138911557,0.46368441164408936,-0.6667686212268801,-0.24563983714311263,-0.15405774397862246,0.22531781008957893,0.28611951389115564,0.4617496783481,0.09449142999068398,0.10594829780833714,0.17278363268205985,,,,,0.0729477601133733,-0.26411434426331426,0.08200835625944049,0.0007474828920757551,-0.04667749549493468,0.15787993827749205,0.15198505077448968,0.07714574737335027,0.8064920145979054,0.7648112376287053,-0.2596402416522666,0.35278395230484144,1.0,0.8064920145979054
log_n_voters_in_dao,0.5671557571761544,0.4492492644393183,-0.23257799312743824,0.305257670202718,-0.41829975573738465,-0.06521551547889066,-0.006171688954946535,0.12798579892851722,-0.23257799312743824,0.0779494374674074,-0.20589273010880255,0.15766176447073027,0.14751997617548113,,,,,0.09996281485290297,-0.17707978860783607,0.07427194471537402,-0.037179079970492857,-0.10721781636187303,-0.0017194056854495912,-0.02088321382979005,0.018581524510086374,1.0,0.9199642323798722,0.2455618255448701,0.2007661112665513,0.8064920145979054,1.0
