space,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_robust_participation_vp,std_robust_participation_vp,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,log_n_unique_voters,log_total_votes,log_n_proposals,log_mean_sum_vp,log_mean_n_voters,log_n_voters_in_dao
0035666.eth,-0.35822869064915314,-0.2962226640159046,-0.6947396855238868,-1.4453675755084097,1.1213010624109914,0.9272816157593176,43.17185183406126,0.25732598828403136,-0.6947396855238868,-0.998296885500561,0.15802905706439466,1.4889584823990722,-0.516145858210723,0.0,0.0,0.0,0.0,0.7043068181201796,-0.6602596836874376,-0.33618760124422753,0.7058834756521041,-0.03149801017366141,-0.5514864808086926,-0.6740952784713364,-0.7235786512008647,-0.7389209699609705,-1.1359360194135455,0.8140286672525047,-1.1947898220885185,-1.4423597034947226,-0.7389209699609705
01meta.eth,1.3882894007900137,-0.19284294234592445,-0.21553527864481353,-0.0963096093913019,0.4562801468248541,0.22641017930365423,0.05390304508942188,0.3324895275448912,-0.21553527864481353,0.8753431932383323,-0.49099846628737054,0.9207851043262865,0.1550620459790429,0.0,0.0,0.0,0.0,-0.5372551366268071,1.55511182923769,-0.10528792964363172,-1.7478113633509138,-0.03149801017366141,-0.4642370518329398,-0.5779717267805193,0.4089968395812058,0.94662588688723,0.8942684658851694,0.14845737424793531,-0.47131085007554097,0.6972765617412118,0.94662588688723
0vix-protocol.eth,0.5456316849843688,1.0238568588469186,2.0724120379888484,0.3146188003688492,-0.370518613077219,-0.00638830912435778,-0.006863104325749542,0.3117770084815747,2.0724120379888484,0.23615076661920859,0.9525253708473294,-0.7513538698169481,0.17031374984473244,0.0,0.0,0.0,0.0,-0.094272631223571,0.8394629523114503,-0.2908887937962823,-0.18129443903481904,-0.03149801017366141,-0.021904451543701374,-0.008884531080364272,0.9835934856158896,-0.27187488493933765,-0.2619346340272179,-0.7347768570596914,-0.03242576462681395,0.404828272686704,-0.27187488493933765
0xgov.eth,0.04456784150848622,0.3399602385685885,0.4457444722755957,0.5069251223179416,0.1831594721208557,-0.18170044941927765,-0.24100048448198044,0.008047265799488485,0.4457444722755957,-0.10921685715573609,0.2769761867082592,-0.12102229934594816,0.03477694957118058,0.0,0.0,0.0,0.0,0.40360242374272814,-0.28097740957318834,0.3959340698145721,0.20607514384494197,0.6498295503631035,0.5254052735248823,0.7794779500807216,0.08607337509091989,-0.2425216300525464,-0.29448194097751695,-0.3437462503769452,0.3798165408892855,0.05068421769847512,-0.2425216300525464
0xmetamask.eth,-0.1581240438987818,-0.04970178926441352,-0.44882356526616646,0.3928935701544905,0.8464614350161651,0.3702046025823447,0.7636653106194001,0.1230734183585927,-0.44882356526616646,-0.7066091794620871,-0.7602663072732174,-0.2963160466977924,0.28771235123800687,0.0,0.0,0.0,0.0,-0.18000905042036264,0.3457924356773848,0.2620864937654429,-0.6767461286064379,0.04305398867323493,-0.12414869048590964,-0.0010984541971088893,0.6974274740722085,0.10834630053070292,0.1482196726730844,0.5136450846908073,-0.218093760005502,-0.2475829727495057,0.10834630053070292
10b57e6da0.eth,0.3201432312701596,0.658051689860835,0.570024439756423,-0.5408679550924124,-0.5449509443996274,-0.8114124312309371,-0.2699722755249891,0.28168840143451745,0.570024439756423,0.07452104462570613,0.4506796029941358,-0.4183947719498866,0.18785881880105704,0.0,0.0,0.0,0.0,0.27446214407636466,-0.2299558058959988,0.43095866619884005,0.08536474060463027,-0.03149801017366141,0.7552542670438788,1.0086483293287394,0.4500850319871909,-0.02241284442582175,-0.016439920020328957,-0.3239499063104304,-0.663458200857028,0.2783045460019248,-0.02241284442582175
1213.eth,-0.3625698629586052,-0.30417495029821073,-0.668010640640698,-1.4813499598344553,2.373098824612301,1.2550556597618503,12.020519524546946,-1.9106612266261969,-0.668010640640698,-1.0035678701252053,2.3407940687929356,-4.113009690273874,-0.7212094092272429,0.0,0.0,0.0,0.0,-1.4369385242742734,3.322331016201173,-0.06571797415531831,0.8767415519108479,-0.03149801017366141,-0.5514894683265801,-0.6244633104894063,-0.7633133328821041,-1.2146344441768846,-1.8447031337132593,0.35719876064526435,-1.18495464898814,-1.595029708902893,-1.2146344441768846
14cat.eth,-0.2510086748383031,-0.2803180914512923,-0.7052627692039269,-0.7224286941574914,0.779792928569797,0.1802260047215815,2.888472185207995,-0.3192143980007925,-0.7052627692039269,-0.8069775985614146,-0.8042980036495766,0.10373588746352021,0.014159518734196653,0.0,0.0,0.0,0.0,-0.0859398331073387,0.7541697579126483,-0.21256000628366353,-0.05283182841097751,-0.03149801017366141,-0.480787486555711,-0.403903930037944,-0.139624611178405,0.6634511840169544,0.5601409022059611,1.2979056689398993,-0.7255127399769783,-0.501512937011089,0.6634511840169544
161610.eth,-0.31855889607971527,-0.2644135188866799,-0.011240666398301557,-1.4808185038014638,-0.12978444386296675,1.1721303777989485,0.2576471338465342,-0.4441160589021885,-0.011240666398301557,-0.1950207772740259,0.053254009720864935,-0.5900805148071134,-0.3182975876848084,0.0,0.0,0.0,0.0,0.1606544414628025,0.31369407966041507,-0.12403957924323046,-0.5538730620980455,-0.03149801017366141,-0.5000697218730571,-0.5526780051163722,0.2668532027964722,-1.11670284690507,-1.3335630433438719,-0.3048247555617552,-1.0153389914933002,-0.8627306132237289,-1.11670284690507
1inch.eth,0.4033541949214256,0.8489065606361829,0.13444896972808817,0.48945401946402534,-0.18836670304931344,-0.2251982873299706,-0.10373032149136867,0.49475926021167704,0.13444896972808817,-0.14045987365958854,0.46300500867504985,-1.4572911855162956,1.703090941327538,0.0,0.0,0.0,0.0,0.32206115447066963,-0.13336583885157896,0.4218526772055611,0.00034487422641094143,1.546934972352659,1.131217753260207,0.5197323682341458,0.5487745803533988,0.24774240604737222,0.6507054427120287,0.33947569313905523,0.439713229025255,0.3292325918541141,0.24774240604737222
