,n_unique_voters,total_votes,n_proposals,avg_voters_per_proposal,median_voters_per_proposal,voter_turnout_proxy,gini_voting_power,hhi_voting_power,whale_ratio_top1pct,proposal_frequency_per_30d,repeat_voter_rate,mean_participation_count,std_participation_count,mean_participation_vp,std_participation_vp,mean_robust_participation_vp,std_robust_participation_vp,mean_n_voters,mean_sum_vp,raw_rep_total_votes,raw_rep_avg_voting_power,raw_rep_median_voting_power,raw_rep_max_voting_power,raw_rep_voting_power_std,raw_rep_pct_for_votes,raw_rep_pct_against_votes,raw_rep_pct_abstain_votes,raw_rep_pct_aligned_with_majority,raw_rep_is_whale_ratio,raw_rep_active_duration_days,raw_rep_avg_days_between_votes,raw_rep_choice_entropy,z_rep_total_votes,z_rep_avg_voting_power,z_rep_median_voting_power,z_rep_max_voting_power,z_rep_voting_power_std,z_rep_pct_for_votes,z_rep_pct_against_votes,z_rep_pct_abstain_votes,z_rep_pct_aligned_with_majority,z_rep_is_whale_ratio,z_rep_active_duration_days,z_rep_avg_days_between_votes,z_rep_choice_entropy,n_voters_in_dao
n_unique_voters,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
total_votes,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
n_proposals,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
avg_voters_per_proposal,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
median_voters_per_proposal,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
voter_turnout_proxy,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,-1.0,-1.0,-1.0000000000000002,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0000000000000002,-1.0
gini_voting_power,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
hhi_voting_power,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0000000000000002,1.0,-1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,-1.0000000000000002,-1.0,1.0000000000000002,-1.0000000000000002,1.0000000000000002,-1.0,1.0000000000000002,1.0000000000000002
whale_ratio_top1pct,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
proposal_frequency_per_30d,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0000000000000002,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0,1.0,1.0000000000000002,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0000000000000002,1.0
