space,kmeans_cluster,hierarchical_cluster
0035666.eth,0,2
01meta.eth,2,0
0vix-protocol.eth,2,0
0xgov.eth,2,0
0xmetamask.eth,2,0
10b57e6da0.eth,2,0
1213.eth,2,0
14cat.eth,2,0
161610.eth,2,0
1inch.eth,2,0
1todamoon.eth,2,0
2021eth.eth,2,0
4867.eth,2,0
51588.eth,2,0
53231323.eth,2,0
551111155.eth,2,0
5552.eth,2,0
691800.eth,2,0
721nftdao.eth,2,0
79798.eth,2,0
857.79798.eth,2,0
8848labs.eth,2,0
9679999.eth,0,2
aavedao.eth,2,0
aavegotchi.eth,2,0
abcdcba.eth,2,0
abracadabrabymerlinthemagician.eth,2,0
acrossprotocol.eth,2,0
aladdindao.eth,2,0
alchemistcoin.eth,2,0
alchemixstakers.eth,2,0
alexec.eth,2,0
alpacafinance.eth,2,0
ampleforthorg.eth,2,0
anglegovernance.eth,2,0
apecoin.eth,2,0
apeswap-finance.eth,2,0
apollodao.eth,2,0
apolloxdao.eth,2,0
arbitrumfoundation.eth,2,0
assangedao.eth,2,0
astardegens.eth,2,0
aurafinance.eth,2,0
autometafi.eth,2,0
awsbcommunity.eth,2,0
babydogevote.eth,2,0
badgerdao.eth,2,0
balancer.eth,2,0
bancornetwork.eth,2,0
banklessvault.eth,2,0
baovotes.eth,2,0
barnbridge.eth,2,0
basedpiggy.eth,2,0
beanstalkdao.eth,2,0
beanstalkfarms.eth,2,0
beefydao.eth,2,0
beets.eth,2,0
benddao.eth,2,0
bestfork.eth,2,0
binance868dashi.eth,2,0
bioxyz.eth,2,0
biswap-org.eth,2,0
bitdao.eth,2,0
bitembassy.eth,2,0
biteren.eth,2,0
black369hole.eth,2,0
blastupio.eth,2,0
blid.eth,2,0
blockchainminers.eth,2,0
blockhuobi.eth,2,0
bnbdddd.eth,2,0
boboat321.eth,2,0
bobuthefarmer.eth,2,0
boringsecurity.eth,2,0
bosondao.eth,2,0
botto.eth,2,0
brightdao688.eth,2,0
brightdao888.eth,2,0
brightmoments.eth,2,0
briwanbriwan333999.eth,2,0
btcismylove.eth,2,0
bullsontheblock.eth,2,0
bwkj88.eth,2,0
bytedust.eth,0,0
cakevote.eth,2,0
castlekidvault.eth,2,0
cccdd.eth,2,0
chaingov.eth,2,0
chaingptai.eth,2,0
chenyangcong.eth,2,0
coinagemedia.eth,2,0
coincollect.app,2,0
comp-vote.eth,2,0
compgov.eth,2,0
conic-dao.eth,2,0
council.bibliotheca.eth,2,0
cow.eth,2,0
cream-finance.eth,2,0
cryptomods.eth,2,0
ctcswap.eth,2,0
curve.eth,2,0
cvx.eth,2,0
dackie.eth,2,0
dao.amkt.eth,2,0
dao.connext.eth,2,0
dao.spaceid.eth,2,0
daocity.eth,2,0
daovoice.eth,2,0
dapang.eth,2,0
dapang1.eth,2,0
dappradar.eth,2,0
dawow.eth,2,0
decentralgames.eth,2,0
decrypt-media.eth,2,0
defjnite.eth,2,0
deri.eth,2,0
derify.eth,2,0
deskvoting.eth,2,0
devdao.eth,2,0
dfkvote.eth,2,0
dforcenet.eth,2,0
diadao.eth,2,0
digitalriyal.eth,2,0
dinero.xyz,2,0
dodobird.eth,2,0
dogamoni.eth,0,0
dogelondao.eth,2,0
doodles.eth,2,0
dopedao.eth,2,0
dunjia.eth,2,0
dydxgov.eth,2,0
echelonassembly.eth,2,0
elfi.eth,2,0
ens.eth,2,0
equationdao.eth,2,0
equilibriafi.eth,2,0
eth6888.eth,2,0
etherfi-dao.eth,2,0
ethip.eth,2,0
ethlizards.eth,2,0
ethos-labs.eth,2,0
eulerdao.eth,2,0
evmaverick.eth,2,0
extradao.eth,2,0
fabien.eth,2,0
fantohmdao.eth,2,0
fantomecosystem.eth,2,0
fei.eth,2,0
ffdao.eth,2,0
figure1.eth,2,0
floki-inu.eth,2,0
flygame.eth,2,0
forgottengov.eth,2,0
fortressdao.eth,2,0
frax.eth,2,0
freerossdao.eth,2,0
friendswithbenefits.eth,2,0
fuse.eth,2,0
futera.eth,2,0
g-dao.eth,2,0
gasdao.eth,2,0
gauges.aurafinance.eth,2,0
gbc-nft.eth,2,0
gearbox.eth,2,0
gelato.eth,2,0
genesisblocks.eth,2,0
gitcoindao.eth,2,0
glmrapes.eth,2,0
gm365.eth,2,0
gmdao.eth,2,0
gmx.eth,2,0
gnars.eth,2,0
gnosis.eth,2,0
goldfinch.eth,2,0
golflinks.eth,2,0
goopsnapshot.eth,2,0
gotchivault.eth,2,0
governance.qredo.eth,2,0
gramdao.eth,2,0
grayboys.eth,2,0
gro.xyz,2,0
guodanpi.eth,2,0
hakka.eth,2,0
halloweenbearsdao.eth,2,0
harmony-mainnet.eth,2,0
hashflowdao.eth,2,0
hectordao.eth,2,0
hi.mochilittlesister.eth,2,0
hop.eth,2,0
hubbleexchange.eth,2,0
hundredfinance.eth,2,0
huwacoin.eth,2,0
hypergptdao.eth,2,0
ideamarket.eth,2,0
ilv.eth,2,0
ilvgov.eth,2,0
index-coop.eth,2,0
infinex.eth,2,0
instadapp-gov.eth,2,0
insuretoken.eth,2,0
iotex.eth,2,0
itokenpocket.eth,2,0
jadeprotocol.eth,2,0
jbdao.eth,2,0
joegovernance.eth,2,0
jpeg鈥檇.eth,2,0
kalmyapp.eth,2,0
kcc.eth,2,0
keephopeif.eth,2,0
klimadao.eth,2,0
koba777.eth,2,0
kogecoin.eth,2,0
kopio.eth,0,0
krausehouse.eth,2,0
kudasaijp.eth,2,0
