dropped_feature,kept_feature,correlation
total_votes,n_unique_voters,1.0
n_proposals,n_unique_voters,1.0
avg_voters_per_proposal,n_unique_voters,1.0
median_voters_per_proposal,n_unique_voters,1.0
voter_turnout_proxy,n_unique_voters,-1.0
gini_voting_power,n_unique_voters,1.0
hhi_voting_power,n_unique_voters,1.0
whale_ratio_top1pct,n_unique_voters,1.0
proposal_frequency_per_30d,n_unique_voters,1.0
repeat_voter_rate,n_unique_voters,1.0
mean_participation_count,n_unique_voters,-1.0
std_participation_count,n_unique_voters,1.0
mean_participation_vp,n_unique_voters,-1.0
std_participation_vp,n_unique_voters,1.0
mean_robust_participation_vp,n_unique_voters,-1.0
std_robust_participation_vp,n_unique_voters,1.0
mean_n_voters,n_unique_voters,1.0
mean_sum_vp,n_unique_voters,1.0
raw_rep_total_votes,n_unique_voters,1.0000000000000002
raw_rep_avg_voting_power,n_unique_voters,1.0
raw_rep_median_voting_power,n_unique_voters,1.0
raw_rep_max_voting_power,n_unique_voters,1.0
raw_rep_voting_power_std,n_unique_voters,1.0000000000000002
raw_rep_pct_for_votes,n_unique_voters,1.0
raw_rep_pct_against_votes,n_unique_voters,-1.0
raw_rep_pct_abstain_votes,n_unique_voters,-1.0
raw_rep_pct_aligned_with_majority,n_unique_voters,1.0
raw_rep_is_whale_ratio,n_unique_voters,-1.0
raw_rep_active_duration_days,n_unique_voters,1.0
raw_rep_avg_days_between_votes,n_unique_voters,-1.0
raw_rep_choice_entropy,n_unique_voters,1.0
z_rep_total_votes,n_unique_voters,1.0
z_rep_avg_voting_power,n_unique_voters,1.0
z_rep_median_voting_power,n_unique_voters,1.0
z_rep_max_voting_power,n_unique_voters,1.0
z_rep_voting_power_std,n_unique_voters,1.0
z_rep_pct_for_votes,n_unique_voters,1.0
z_rep_pct_against_votes,n_unique_voters,-1.0
z_rep_pct_abstain_votes,n_unique_voters,-1.0
z_rep_pct_aligned_with_majority,n_unique_voters,1.0
z_rep_is_whale_ratio,n_unique_voters,-1.0
z_rep_active_duration_days,n_unique_voters,1.0
z_rep_avg_days_between_votes,n_unique_voters,-1.0
z_rep_choice_entropy,n_unique_voters,1.0000000000000002
n_voters_in_dao,n_unique_voters,1.0
