space,strategies_str,n_strategies,strategy_class
stgdao.eth,erc20-balance-of-with-delegation,8,multi_delegation
arbitrumfoundation.eth,erc20-votes,1,delegation
opcollective.eth,erc20-votes,1,delegation
aavedao.eth,contract-call,2,multi_other
gitcoindao.eth,with-delegation,1,delegation
ens.eth,delegation|erc20-votes,2,multi_delegation
uniswapgovernance.eth,uni,1,wrapper_lp_nft
cakevote.eth,erc20-balance-of,1,simple_erc20
magicappstore.eth,api-v2,1,other_single
bitdao.eth,api-v2|erc20-votes,2,multi_delegation
aavegotchi.eth,aavegotchi-agip|aavegotchi-agip-17|aavegotchi-agip-37-gltr-staked-lp|erc20-balance-of,4,multi_wrapper_lp
gmx.eth,contract-call|erc20-balance-of,6,multi_other
starknet.eth,erc20-votes|erc20-votes-starknet|strk-staked-balance|whitelist-weighted,4,multi_delegation
g-dao.eth,api|galxe-staking,3,multi_wrapper_lp
bytedust.eth,ticket,1,other_single
sushigov.eth,erc20-balance-of,1,simple_erc20
poh.eth,erc20-balance-of|math,2,multi_other
trustwallet,erc20-balance-of,1,simple_erc20
shellprotocol.eth,delegation|erc20-balance-of,2,multi_delegation
balancer.eth,delegation-with-cap|erc20-balance-of,2,multi_delegation
apecoin.eth,apecoin-staking|erc20-votes|with-delegation,7,multi_delegation
snapshot.dcl.eth,decentraland-estate-size|decentraland-rental-lessors|decentraland-wearable-rarity|delegation|erc20-balance-of|erc721-with-multiplier,9,multi_delegation
curve.eth,erc20-balance-of,1,simple_erc20
lido-snapshot.eth,erc20-balance-of|erc20-balance-of-delegation,2,multi_delegation
radiantcapital.eth,with-delegation,4,multi_delegation
banklessvault.eth,multichain,1,other_single
vestafinance.eth,balancer-poolid|contract-call|erc20-balance-of,4,multi_wrapper_lp
olympusdao.eth,erc20-balance-of|math,8,multi_other
metislayer2.eth,balance-of-with-min,6,multi_other
speraxdao.eth,erc20-balance-of,3,multi_other
quickvote.eth,erc20-balance-of|pagination,3,multi_other
dydxgov.eth,aave-governance-power,1,other_single
hop.eth,delegation|erc20-votes,2,multi_delegation
sismo.eth,thresholds,1,other_single
dao.spaceid.eth,api-v2|spaceid,4,multi_other
joegovernance.eth,multichain,1,other_single
hakka.eth,contract-call,4,multi_other
safe.eth,contract-call|delegation|erc20-balance-of|safe-vested,4,multi_delegation
swpr.eth,erc20-balance-of,2,multi_other
thegurudao.eth,erc721,4,multi_other
sandboxdao.eth,delegation|erc20-balance-of|erc721-with-multiplier,6,multi_delegation
1inch.eth,contract-call|delegation,2,multi_delegation
xdaistake.eth,delegation|multichain,2,multi_delegation
gnosis.eth,beacon-chain|contract-call|delegation,5,multi_delegation
younghwang.eth,balance-of-with-min|erc20-balance-of|erc721,4,multi_other
whitelist1.eth,eth-balance,1,other_single
beefydao.eth,with-delegation,1,delegation
zkapedao.eth,ticket,1,other_single
badgerdao.eth,erc20-balance-of|erc20-balance-of-delegation|multichain,3,multi_delegation
dackie.eth,contract-call,1,other_single
theopendao.eth,erc20-balance-of,2,multi_other
alpacafinance.eth,contract-call,1,other_single
treasuregaming.eth,contract-call,1,other_single
etherfi-dao.eth,erc20-balance-of|erc20-votes,8,multi_delegation
governance.qredo.eth,contract-call|sablier-v2,4,multi_other
qidao.eth,ve-balance-of-at,1,other_single
paraswap-dao.eth,split-delegation,1,delegation
decrypt-media.eth,erc721,1,other_single
bestfork.eth,erc20-balance-of,4,multi_other
revotu.eth,eth-balance,1,other_single
yokaiswap.eth,erc20-balance-of|ticket,2,multi_other
people-dao.eth,balance-of-with-min,2,multi_other
layer2dao.org,erc20-balance-of,1,simple_erc20
comp-vote.eth,comp-like-votes,1,other_single
cow.eth,erc20-balance-of|erc20-balance-of-delegation,8,multi_delegation
synapseprotocol.eth,delegation|synapse,8,multi_delegation
loot-dao.eth,erc721,1,other_single
shapeshiftdao.eth,erc20-balance-of|hedgey|hedgey-delegate|staked-uniswap,8,multi_wrapper_lp
klimadao.eth,erc20-balance-of|erc20-balance-of-indexed|math,6,multi_other
gearbox.eth,erc20-balance-of|with-delegation,5,multi_delegation
rfrmdao.eth,erc20-balance-of,1,simple_erc20
bitembassy.eth,comp-like-votes,1,other_single
ethip.eth,erc20-balance-of,1,simple_erc20
cvx.eth,erc20-balance-of|erc20-balance-of-delegation,2,multi_delegation
zkswapfinance.eth,erc20-balance-of,1,simple_erc20
pooltogether.eth,comp-like-votes|erc20-balance-of|multichain,3,multi_other
beets.eth,delegation|reliquary,2,multi_delegation
doodles.eth,delegation|erc721,4,multi_delegation
zksyncdao.eth,ticket,1,other_single
