rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_proposals,cum_coverage,is_selected
1,cakevote.eth,PancakeSwap,56,CAKEVOTE,False,1658912310,3733,111328,3733,0.012480733932684946,True
2,snapshot.dcl.eth,Decentraland,1,VP,False,1620760753,2803,34553,6536,0.021852150276996732,True
3,cvx.eth,Convex Finance,1,CVX,False,1623806620,1997,5648,8533,0.02852882471138512,True
4,index-coop.eth,Index Coop,1,INDEX,False,1622134145,1449,2815,9982,0.033373342115205235,True
5,aladdindao.eth,AladdinDAO,1,xALD,False,1616255576,1448,795,11430,0.03821451616677978,True
6,veclev.eth,CLever,1,veCLEV,False,1666942860,1384,174,12814,0.042841715674638334,True
7,hvax.eth,Event Horizon,1,HVAXVC,False,1690928103,1088,215,13902,0.04647928291781037,True
8,sdcrv-gov.eth,sdCRV-Governance,1,sdCRV,False,1674064817,1050,116,14952,0.049989802775651036,True
9,balancer.eth,Balancer,1,veBAL,False,1629284773,1041,36462,15993,0.053470232463281635,True
10,sdbal.eth,Stake DAO BAL,1,sdBAL,False,1654767523,1021,84,17014,0.05688379510600098,True
11,snxgov.eth,Synthetix SCCP/SIP,1,SNX,True,1614762849,969,360,17983,0.06012350343195108,True
12,aavedao.eth,Aave DAO,1,AAVE,False,1743692013,911,157156,18894,0.06316929732765855,True
13,aurafinance.eth,Aura Finance,1,vlAURA,False,1655212412,882,1062,19776,0.0661181340082447,True
14,bentfinance.eth,Bent Finance,1,weBENT,False,1640274089,859,135,20635,0.06899007358718293,True
15,sharkdao.eth,SharkDAO,1,SHARK,False,1628552490,846,1575,21481,0.07181854958692883,True
16,concentratordao.eth,Concentrator,1,asdCRV,False,1663134762,825,225,22306,0.07457681518951792,True
17,leagueoflils.eth,League of Lils,1,Lil Nouns,False,1658262342,776,209,23082,0.07717125653207445,True
18,gm365.eth,gm DAO,1,ETH,False,1657971451,731,3359,23813,0.07961524702358067,True
19,frami.eth,frami y otras hierbas,1,VP,False,1614661090,657,6,24470,0.08181182944891525,True
20,apollodao.eth,WEALTHDAO,56,3Body,False,1633772698,639,1330,25109,0.08394823153382971,True
21,huwacoin.eth,HUWA-DAO,56,HUWA,False,1626953106,635,1825,25744,0.08607126020976193,True
22,pnounsdao.eth,pNounsDAO,1,pNouns,False,1672763599,632,179,26376,0.08818425882895745,True
23,maturka.eth,9K DAO,1,VOTE,False,1680925676,626,4383,27002,0.0902771973346796,True
24,aavegotchi.eth,Aavegotchi,8453,GHST,False,1607347036,595,86235,27597,0.0922664919207893,True
25,eth6888.eth,lovebnbdao,56,BNB,False,1640316581,568,1124,28165,0.09416551599626882,True
26,bancornetwork.eth,Bancor,1,vBNT,False,1615913137,560,4192,28725,0.09603779325378384,True
27,toniya.eth,Klaytn Dex,1001,KDEX,False,1668766072,534,541,29259,0.09782314335291423,True
28,14cat.eth,MATIC Test Space,137,MATIC,False,1640526546,522,1682,29781,0.09956837322509787,True
29,lemu.dcl.eth,dcl.governance.test,1,MANA,False,1661805777,518,214,30299,0.10130022968829927,True
30,frax.eth,Frax,252,veFXS,False,1608791803,510,4626,30809,0.10300533933353616,True
31,zys888.eth,MATIC 2021,137,MATIC,False,1637933137,496,1320,31305,0.10466364204733518,True
32,sdfxs.eth,Stake DAO FXS,1,working-sdFXS,False,1649154631,494,45,31799,0.10631525805664307,True
33,haitangkeji.eth,haidao,137,matic,False,1639122844,481,307,32280,0.10792341048675866,True
34,orbapp.eth,Orb,1,VOTE,False,1685631696,479,514,32759,0.1095248762123831,True
35,ppyaa.eth,PaoPao,137,Dev,False,1637390048,477,674,33236,0.11111965523351644,True
36,fabien.eth,Fabien,1,ETH,False,1605976603,467,971,33703,0.11268100073219414,True
37,abcdcba.eth,matic,1,vote,False,1654605373,462,1787,34165,0.11422562946964403,True
38,•8099.eth,MaticDAO,137,MATIC,False,1675101132,455,1100,34620,0.11574685474137499,True
39,yequ.eth,夜曲,1,ETH,False,1663727275,451,1057,35071,0.1172547066041237,True
40,bnbdddd.eth,bnb,1,666,False,1663391850,439,395,35510,0.11872243823992565,True
41,✓✓✓✓✓.eth,BNB2.0,1,Vote,False,1654578703,438,653,35948,0.12018682652348203,True
42,boboat321.eth,MATIC DAO DAO,137,dai,False,1638950875,434,935,36382,0.12163784139805618,True
43,jbdao.eth,JuiceboxDAO,1,JBX,False,1629050576,415,2532,36797,0.12302533257996463,True
44,yokaiswap.eth,rabbithole.gg,137,RAB,False,1649582802,413,7748,37210,0.12440613705738196,True
45,wdswap.eth,WdDao,137,MATIC,False,1637759076,404,498,37614,0.12575685136458922,True
46,alexec.eth,AlexDAO,56,PEOPLE,False,1638281359,402,1920,38016,0.12710087896730535,True
47,arbitrumfoundation.eth,Arbitrum DAO,42161,ARB,False,1679581634,399,323321,38415,0.1284348765132848,True
48,goopsnapshot.eth,GOOP TROOP,1,GOOP,False,1633590051,394,327,38809,0.12975215729803644,True
49,dcip.eth,DCIP,56,DCIP,True,1634721341,392,6,39201,0.13106275137829695,True
50,zirouziyu.eth,USDC-Matic,137,USDC,False,1637633563,391,1117,39592,0.13237000210631192,True
51,rosette093510.eth,Rosette,56,VOTE,False,1683768137,391,245,39983,0.13367725283432685,True
52,lido-snapshot.eth,Lido,1,LDO,False,1611991380,389,32500,40372,0.13497781685785068,True
53,alluo.eth,Alluo,1,vlALLUO,False,1641484592,389,101,40761,0.1362783808813745,True
54,matic.joints.eth,MATICDAO,1,ETH,False,1687570315,387,801,41148,0.13757225820040722,True
55,skgame.eth,skgame,1,ETH,False,1638252610,380,352,41528,0.138842732053721,True
56,loveeachother.eth,loveeachother,1,ETH,False,1638104314,371,205,41899,0.1400831157368247,True
57,figure1.eth,AntCaveDAO,1,AC,False,1687742745,369,462,42268,0.14131681271543725,True
58,ethip.eth,MATIC,137,MATIC,False,1637483429,367,5832,42635,0.1425438229895587,True
59,2021eth.eth,2021eth,1,USDT,False,1636522783,364,1809,42999,0.14376080320694348,True
60,goodmorningnews.eth,Good Morning News,137,GMN,False,1644709064,352,295,43351,0.1449376631973815,True
61,dao-dvision.eth,Dvision Binance Test,97,VP,False,1651141387,342,8,43693,0.14608108966536387,True
62,futera.eth,Futera United,1,FU,False,1643714442,341,458,44034,0.1472211727811007,True
63,biteren.eth,poly dao,137,MATIC,False,1637379929,341,498,44375,0.14836125589683752,True
64,guodanpi.eth,guodanpi,1,eth,False,1639919980,329,420,44704,0.1494612187856276,True
65,apecoin.eth,ApeCoin DAO,1,APE,False,1647457750,327,36331,45031,0.15055449496992654,True
66,polygondaoo.eth,polygon,137,matic,False,1650292694,325,581,45356,0.15164108444973437,True
67,dapang.eth,MATIC,137,MATIC,False,1650329805,324,639,45680,0.15272433057729662,True
68,magicappstore.eth,Magic Square,56,SQRv,False,1669135216,324,96385,46004,0.1538075767048589,True
69,iwan.eth,Iwan,5,CVX,False,1616133729,322,61,46326,0.15488413612793003,True
