rank_1based,id,name,network,symbol,private,created,proposalsCount,followersCount,cum_followers,cum_coverage,is_selected
1,stgdao.eth,Stargate DAO,1,veSTG,False,1646451490,155,921357,921357,0.21255743863484416,True
2,arbitrumfoundation.eth,Arbitrum DAO,42161,ARB,False,1679581634,399,323321,1244678,0.2871477262398186,True
3,opcollective.eth,Optimism Collective,10,OP,False,1652971367,93,203988,1448666,0.33420784169153234,True
4,aavedao.eth,Aave DAO,1,AAVE,False,1743692013,911,157156,1605822,0.37046379549239083,True
5,gitcoindao.eth,Gitcoin,1,GTC,False,1621966386,176,150429,1756251,0.40516782762803527,True
6,ens.eth,ENS,1,ENS,False,1619993265,89,142920,1899171,0.43813953037701525,True
7,uniswapgovernance.eth,Uniswap,1,UNI,False,1620456818,189,125093,2024264,0.46699853689799303,True
8,cakevote.eth,PancakeSwap,56,CAKEVOTE,False,1658912310,3733,111328,2135592,0.49268195226070255,True
9,magicappstore.eth,Magic Square,56,SQRv,False,1669135216,324,96385,2231977,0.5149180113809126,True
10,bitdao.eth,Mantle (prev. BitDAO),5000,MNT,False,1624962494,34,89026,2321003,0.5354563461761176,True
11,aavegotchi.eth,Aavegotchi,8453,GHST,False,1607347036,595,86235,2407238,0.5553507961240486,True
12,gmx.eth,GMX,42161,GMX,False,1635819265,67,75915,2483153,0.5728644178298197,True
13,starknet.eth, Starknet,1,STRK,False,1659447741,21,67093,2550246,0.588342800509202,True
14,g-dao.eth,G DAO,1,G,False,1662446680,47,66295,2616541,0.6036370842605567,True
15,bytedust.eth,ByteDAO,42161,BYTE,False,1656388617,35,65341,2681882,0.6187112798197584,True
16,sushigov.eth,Sushi,1,SUSHIPOWAH,False,1623288078,229,61175,2743057,0.6328243774664758,True
17,poh.eth,Proof Of Humanity,1,VOTE,False,1616365054,116,58906,2801963,0.6464140158804935,True
18,trustwallet,Trust Wallet,56,TWT,False,1620456815,19,47112,2849075,0.657282773646446,True
19,shellprotocol.eth,Shell Protocol,42161,veSHELL,False,1649284976,55,40018,2889093,0.6665149426963249,True
20,balancer.eth,Balancer,1,veBAL,False,1629284773,1041,36462,2925555,0.6749267410844673,True
21,apecoin.eth,ApeCoin DAO,1,APE,False,1647457750,327,36331,2961886,0.6833083177187605,True
22,snapshot.dcl.eth,Decentraland,1,VP,False,1620760753,2803,34553,2996439,0.6912797090221855,True
23,curve.eth,Curve Finance,1,CRV,False,1623154882,203,32956,3029395,0.6988826717691445,True
24,lido-snapshot.eth,Lido,1,LDO,False,1611991380,389,32500,3061895,0.7063804351286593,True
25,radiantcapital.eth,Radiant Capital,42161,RDNT,False,1658710528,55,28771,3090666,0.7130179166553239,True
26,banklessvault.eth,Bankless DAO,1,BANK,False,1620080430,84,28688,3119354,0.7196362500478704,True
27,vestafinance.eth,Vesta,42161,VSTA,False,1657058471,13,28149,3147503,0.7261302359188544,True
